94,0.020000,0.03394,0.00098,1.01831,0.055,-1.909,-0.102,-1.588,-0.0597,0.0345
199614,0.020000,0.02808,-0.00049,1.01440,-0.028,-1.585,-0.101,-1.590,-0.0063,-0.1106
199634,0.020000,0.02588,-0.01099,1.00952,-0.624,-1.468,-0.105,-1.586,0.3144,0.0803
199654,0.020000,0.02686,-0.01440,1.01636,-0.812,-1.513,-0.120,-1.583,-0.0063,0.0574
199674,0.020000,0.02661,-0.00586,1.02026,-0.329,-1.494,-0.129,-1.583,-0.2582,-0.0419
199694,0.020000,0.02637,-0.00391,1.01001,-0.222,-1.495,-0.130,-1.581,0.0395,-0.0266
199714,0.020000,0.02808,0.00415,1.01904,0.233,-1.578,-0.122,-1.582,0.0472,-0.0648
199734,0.020000,0.02637,0.00513,1.01563,0.289,-1.4
7200654,0.020000,0.02539,-0.00122,1.01855,-0.069,-1.428,-0.100,-1.581,-0.0368,0.1032
200674,0.020000,0.02637,-0.00562,1.01270,-0.318,-1.491,-0.109,-1.578,-0.2276,0.0803
200694,0.020000,0.02417,-0.00220,1.01709,-0.124,-1.361,-0.115,-1.574,-0.3269,-0.0419
200714,0.020000,0.02612,0.00024,1.02124,0.014,-1.465,-0.113,-1.569,-0.0292,0.1719
200734,0.020000,0.02563,-0.00415,1.01587,-0.234,-1.446,-0.117,-1.566,-0.0521,0.0192
200754,0.020000,0.02686,-0.00806,1.02148,-0.452,-1.506,-0.123,-1.562,0.0319,0.1566
200774,0.020000,0.03491,-0.00366,1.01685,-0.206,-1.966,-0.124,-1.569,0.0395,0.0421
200794,0.020000,0.03271,-0.00098,1.01270,-0.055,-1.850,-0.124,-1.578,-0.0826,-0.1945
200814,0.020000,0.03125,-0.00122,1.01563,-0.069,-1.762,-0.122,-1.582,0.0472,0.0268
200834,0.020000,0.03125,-0.00220,1.01929,-0.124,-1.756,-0.121,-1.587,0.0395,-0.0724
200854,0.020000,0.02393,0.00098,1.01563,0.055,-1.350,-0.115,-1.581,0.1540,0.0268
200874,0.020000,0.02612,-0.00464,1.01660,-0.261,-1.472,-0.118,-1.579,-0.0368,-0.0113
200894,0.020000,0.02832,-0.00659,1.01636,-0.372,-1.596,-0.124,-1.582,-0.0368,-0.1106
200914,0.020000,0.02393,-0.00244,1.01514,-0.138,-1.350,-0.121,-1.575,0.1769,0.1184
200934,0.020000,0.02515,-0.00439,1.01831,-0.247,-1.415,-0.124,-1.579,-0.0215,-0.3548
200954,0.020000,0.03027,-0.00439,1.00903,-0.250,-1.718,-0.129,-1.577,-0.1360,0.2406
200974,0.020000,0.02979,-0.00171,1.01611,-0.096,-1.679,-0.127,-1.581,0.0472,-0.0953
200994,0.020000,0.03003,-0.00244,1.01685,-0.138,-1.692,-0.125,-1.579,0.1388,0.2177
201014,0.020000,0.03174,-0.00073,1.01660,-0.041,-1.788,-0.126,-1.582,-0.1360,0.0192
201034,0.020000,0.02930,-0.00317,1.01611,-0.179,-1.652,-0.127,-1.585,-0.0215,-0.0571
201054,0.020000,0.03027,-0.00513,1.01904,-0.288,-1.702,-0.132,-1.590,-0.0902,-0.1411
201074,0.020000,0.02710,-0.00220,1.01294,-0.124,-1.532,-0.133,-1.590,-0.0521,-0.0571
201094,0.020000,0.02417,-0.00293,1.01440,-0.165,-1.365,-0.135,-1.587,-0.0521,-0.0877
201114,0.020000,0.02246,-0.00244,1.02246,-0.137,-1.258,-0.132,-1.580,0.1464,0.0192
201134,0.020000,0.02197,-0.00269,1.01758,-0.151,-1.237,-0.136,-1.573,-0.1589,0.0116
201154,0.020000,0.02734,-0.00146,1.00952,-0.083,-1.552,-0.129,-1.572,0.2686,0.0497
201174,0.020000,0.02881,-0.00024,1.01221,-0.014,-1.630,-0.121,-1.570,0.2991,0.1337
201194,0.020000,0.03467,-0.00024,1.01074,-0.014,-1.964,-0.118,-1.579,0.0701,-0.0648
